Channel,Label,flag,comment
Ch0,NULL,,
Ch1,NULL,,
Ch2,SiPM_3,SiPM,visible
Ch3,SiPM_4,SiPM,visible,
Ch4,NULL,,
Ch5,B_SIG2,CSP,
Ch6,B_SIG5,CSP,
Ch7,B_SIG8,CSP,
Ch8,B_SIG11,CSP,
Ch9,B_SIG14,CSP,
Ch10,T_SIG2,CSP,
Ch11,T_SIG5,CSP,
Ch12,T_SIG8,CSP,
Ch13,T_SIG11,CSP,
Ch14,T_SIG14,CSP,
Ch15,NULL,,
Ch16,NULL,,
Ch17,NULL,,
Ch18,NULL,,
Ch19,SiPM2,SiPM,VUV,
Ch20,NULL,,
Ch21,B_SIG1,CSP,
Ch22,B_SIG4,CSP,
Ch23,B_SIG7,CSP,
Ch24,B_SIG10,CSP,
Ch25,B_SIG13,CSP,
Ch26,B_SIG15,CSP,
Ch27,T_SIG1,CSP,
Ch28,T_SIG4,CSP,
Ch29,T_SIG7,CSP,
Ch30,T_SIG10,CSP,
Ch31,T_SIG13,CSP,
Ch32,NULL,,
Ch33,NULL,,
Ch34,NULL,,
Ch35,SiPM_1,SiPM,VUV_Th,
Ch36,NULL,,
Ch37,NULL,,
Ch38,NULL,,
Ch39,NULL,,swapped to Ch56
Ch40,B_SIG6,CSP,
Ch41,B_SIG9,CSP,
Ch42,B_SIG12,CSP,
Ch43,NULL,,
Ch44,T_SIG3,CSP,
Ch45,T_SIG6,CSP,
Ch46,T_SIG9,CSP,
Ch47,T_SIG12,CSP,
Ch48,T_SIG15,CSP,
Ch49,NULL,,
Ch50,NULL,,
Ch51,NULL,,
Ch52,NULL,,
Ch53,NULL,,
Ch54,NULL,,
Ch55,NULL,,
Ch56,B_SIG3,CSP,
Ch57,NULL,,
Ch58,NULL,,
Ch59,NULL,,
Ch60,NULL,,
Ch61,NULL,,
Ch62,NULL,,
Ch63,NULL,,
